Description,Field Name,Values
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Veteran social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Veterans,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Health social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Hlty/Soc Cause/Con,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Other social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Othr Soc/Cause Con,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Baseball. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Baseball,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Basketball. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Basketball,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Hockey. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Hockey,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Camping/Hiking. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Camping/Hiking,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Hunting. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Hunting,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Fishing. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Fishing,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Nascar. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Nascar,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Personal Fitness/Exercise. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Personal Fitness/Exercise,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Scuba Diving. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Scuba Diving,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Football. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Football,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Golf. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Golf,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Snow Skiing/Boarding. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Snow Skiing/Boarding,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Boating/Sailing. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Boating/Sailing,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Walking. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Walking,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Cycling. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Cycling,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Motorcycles. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Motorcycles,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Running/Jogging. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Running/Jogging,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Soccer. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Soccer,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Swimming. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Swimming,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Playing Sports In General. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Play Sports In General,"U=unknown,Y=yes"
Activities and Interests/Sweepstakes. Direct reported survey data that represents a household's interest in Sweepstakes. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sweepstakes:Sweepstakes,"U=unknown,Y=yes"
Activities and Interests/Sweepstakes. Direct reported survey data that represents a household's interest in Lotteries. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sweepstakes:Lotteries,"U=unknown,Y=yes"
Activities and Interests ravel. Direct reported survey data that represents a household's interest in Cruise travel. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Travel:Cruise,"U=unknown,Y=yes"
Activities and Interests ravel. Direct reported survey data that represents a household's interest in International travel. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Travel:International,"U=unknown,Y=yes"
Activities and Interests ravel. Direct reported survey data that represents a household's interest in Domestic travel. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Travel:Domestic,"U=unknown,Y=yes"
Activities and Interests travel. Direct reported survey data that represents a household's interest in Time Shares Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Travel:Time Share,"U=unknown,Y=yes"
Activities and Interests ravel. Direct reported survey data that represents household's that would enjoy a Recreational Vehicle. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Travel:Recreational Vehicle,"U=unknown,Y=yes"
Activities and Interests ravel. Direct reported survey data that represents household's that would enjoy Would Enjoy RV Travel. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Travel:Would Enjoy Rv Travel,"U=unknown,Y=yes"
Activities and Interests/Sweepstakes. Direct reported survey data that represents household's interest in Business Travel. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Travel:Business Travel,"U=unknown,Y=yes"
Activities and Interests/Sweepstakes. Direct reported survey data that represents household's interest in Personal Travel. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Travel:Personal Travel,"U=unknown,Y=yes"
Activities and Interests/Computer Hardware Software and the Internet. Direct reported survey data that represents household's that own a computer. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:PC & Internet:Own Computer,"U=unknown,Y=yes"
Activities and Interests/Computer Hardware Software and the Internet. Direct reported survey data that represents household's that uses an Internet Service. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:PC & Internet:Use Internet Service,"U=unknown,Y=yes"
Activities and Interests/Computer Hardware Software and the Internet. Direct reported survey data that represents household's that uses Internet Service- DSL/High Speed. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:PC & Internet:Usedsl/Hispd,"U=unknown,Y=yes"
Activities and Interests/Computer Hardware Software and the Internet. Direct reported survey data that represents household's that Plan To Buy Computer. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:PC & Internet:Plan To Buy Computer,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with Cell Phone. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Cell Phone,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with Compact Disc Player. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Compact Disc Player,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with DVD Player. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Dvd Player,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with Satellite Dish. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Satellite Dish,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with Digital Camera. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Digital Camera,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with HDTV. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Hdtv,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with Interest In Electronics. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Interest In Electronics,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with Personal Data Assistant (PDA). Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Pda/Blackberry,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with Video Camera. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Video Camera,"U=unknown,Y=yes"
Activities and Interests/Electronics and Gadgets. Direct reported survey data that represents household's with Video Game System. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Elctrncs/Gdgts:Video Game System,"U=unknown,Y=yes"
Activities and Interests/Cultural and Arts. Direct reported survey data that represents household's with Interest In Cultrual Arts. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Cltrl/Arts:Interest In Cultrual Arts,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Business and Finance magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Business And Finance,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Childrens magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Childrens Magazines,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Computer/Electronics magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Computer/Electronics,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Crafts Games and Hobby magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Crafts Games And Hobbies,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Fitness magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Fitness,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Food/Wine/Cooking magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Food/Wine/Cooking,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Gardening magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Gardening Magazines,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Hunting and Fishing magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Hunting And Fishing,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Mens magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Mens,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Music magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Music,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Parenting/Babiesmagazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Parenting/Babies,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Sports magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Sports Magazines,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with a magazine Subscription. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Subscription,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Travel magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Travel,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Womens magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Womens,"U=unknown,Y=yes"
Activities and Interests/Magazines. Direct reported survey data that represents household's with interest in Current Events/News magazines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Magazines:Current Events/News,"U=unknown,Y=yes"
"Lifestyles/Affiliations, Clubs and Memberships. Direct reported survey data that represents a household's affiliation with Music Club. Valid Values: Y = Yes U = Unknown",HH:Lifestyl:Affiliation/Member:Music Club,"U=unknown,Y=yes"
Lifestyles/Credit Cards. Direct reported survey data that represents household's presence of American Express/Premium. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Credit Cards:American Express/Premium,"U=unknown,Y=yes"
Lifestyles/Credit Cards. Direct reported survey data that represents household's presence of American Express/Regular. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Credit Cards:American Express/Regular,"U=unknown,Y=yes"
Lifestyles/Credit Cards. Direct reported survey data that represents household's presence of Discover/Premium. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Credit Cards:Discover/Premium,"U=unknown,Y=yes"
Lifestyles/Credit Cards. Direct reported survey data that represents household's presence of Discover/Regular. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Credit Cards:Discover/Regular,"U=unknown,Y=yes"
Lifestyles/Credit Cards. Direct reported survey data that represents household's presence of Other Card/Premium. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Credit Cards:Other Card/Premium,"U=unknown,Y=yes"
Lifestyles/Credit Cards. Direct reported survey data that represents household's presence of Other Card/Regular. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Credit Cards:Other Card/Regular,"U=unknown,Y=yes"
Lifestyles/Credit Cards. Direct reported survey data that represents household's presence of Store Or Retail/Regular. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Credit Cards:Store Or Retail/Regular,"U=unknown,Y=yes"
Lifestyles/Credit Cards. Direct reported survey data that represents household's presence of Visa/Regular. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Credit Cards:Visa/Regular,"U=unknown,Y=yes"
Lifestyles/Credit Cards. Direct reported survey data that represents household's presence of Mastercard/Regular. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Credit Cards:Mastercard/Regular,"U=unknown,Y=yes"
Lifestyles/Entertainment and Fun. Direct reported survey data that represents household's that has a tendancy to Buy Pre-Recorded Videos. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Entertainment:Buy Pre-Recorded Videos,"U=unknown,Y=yes"
Lifestyles/Entertainment and Fun. Direct reported survey data that represents household's that have tendancy to Watch Cable TV. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Entertainment:Watch Cable Tv,"U=unknown,Y=yes"
Lifestyles/Entertainment and Fun. Direct reported survey data that represents household's that have tendancy to subscribe to Watch Videos. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Entertainment:Watch Videos,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in CDs/Money Market - Currently. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Cds/Money Mkt - Cur,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Iras - Currently. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Iras - Currently,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Iras - Future Interest. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Iras - Future Interest,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Life Insurance - Currently. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Life Insur. - Cur,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Mutual Funds - Currently. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Mutual Funds - Currently,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Mutual Funds - Future Interest. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Mutl Funds/ - Fut Int,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Other Investments - Currently. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Othr Invest - Cur,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Other Investments - Future Interest. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Othr Invest - Future,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Real Estate- Currently. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Real Estate- Currently,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Real Estate- Future Interest. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Real Estate - Fut,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Stocks Or Bonds - Currently. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Stks/Bond - Cur,"U=unknown,Y=yes"
Lifestyles/Financial Investments. Direct reported survey data that represents household's that have tendancy to invest in Stocks Or Bonds - Future Interest. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Financial:Stks/Bond - Fut,"U=unknown,Y=yes"
Lifestyles/Proud Grandparent. Direct reported survey data that represents household's that contain Proud Grandparents. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Grandkids:Proud Grandparent,"U=unknown,Y=yes"
Lifestyles/Members of Military and Government Office. Direct reported survey data that represents household's with Veteran present. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Military/Gov:Vetern,"U=unknown,Y=yes"
Lifestyles/Pets. Direct reported survey data that represents household's that Own a Cat. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Pets:Own A Cat,"U=unknown,Y=yes"
Lifestyles/Pets. Direct reported survey data that represents household's that Own a Dog. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Pets:Own A Dog,"U=unknown,Y=yes"
Lifestyles/Pets. Direct reported survey data that represents household's that Own a Pet. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Pets:Own A Pet,"U=unknown,Y=yes"
Lifestyles/Shopping Method. Direct reported survey data that represents household's that prefer to shop for Computer or Electronics. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Buying Interest:Comp/Elec,"U=unknown,Y=yes"
Lifestyles/Shopping Method. Direct reported survey data that represents household's that prefer to shop for Sports Related. Valid Values: Y = Yes U = Unknown,HH:Lifestyl:Buying Interest:Sports Related,"U=unknown,Y=yes"
"The Estimated Available Equity model is Experian's proprietary model designed to accurately predict equity in the home for Homeowner records. The value of equity equals the estimated current home value minus the remaining principal of the mortgage loan. The model inputs, such as sale price, sale date and mortgage amount of the property were acquired from realty deed records from the county court house. Position 1= Confidence flag of 1 = Extremely Likely, 2 = Highly Likely, 3 = Likely. Positions 2-5 = Estimated Equity (in thousands) 0000-9999.",Real Estate: Available Equity Amount,$
"Estimated Current Mortgage Amount model estimates the mortgage amount where it is not available. States are grouped into 6 categories on the basis of similarities among each of the states. There is a separate model for each state grouping. The model input variables, such as Sales Amount of the House, Year of Sale of the House and Assessed Value of the House were acquired from the realty deed records and county tax assessor records. Where mortgage amount was unavailable the median mortgage amount of the block or group of homes in that geographic area was utilized. Values represented in thousands.",Real Estate: Estimated Current Mortgage Amount,$
address line 2,Address Line 1,Address
address line 1,Address Line 2,Address
Full city name.,Address City,Address
Number of filled phone buckets,Number of Phones,Number
Zip Code,Address Postal Code,Address
Birth Year and Month,Person #: Birth Year and Month,MMYYYY or YYYY
Business Owner,Person #: Business Owner,"U=Unknown,Y=Yes"
Based on a comprehensive predictive name analysis process which identifies ethnicity.,Person #: Ethnic - Ethnic,"00=Unknown,01=English,02=Scottish,03=Danish,04=Swedish,05=Norwegian,06=Finnish,07=Icelandic,08=Dutch,09=Belgian,10=German,11=Austrian,12=Hungarian,13=Czech,14=Slovak,15=Irish,16=Welsh,17=French,18=Swiss,19=Italian,20=Hispanic,21=Portuguese,22=Polish,23=Estonian,24=Latvian,25=Lithuanian,26=Ukrainian,27=Georgian,28=Byelorussian,29=Armenian,30=Russian,31=Turkish,32=Kurdish,33=Greek,34=Persian,35=Moldovan,36=Bulgarian,37=Romanian,38=Albanian,39=Native American,40=Slovenian,41=Croat,42=Serb,43=Bosniak,44=Azerbaijani,45=Kazakh,46=Afghan,47=Pakistani,48=Bengali,49=Indonesian,50=Asian Indian,51=Burmese (Myanmar),52=Mongolian,53=Chinese,55=Taiwanese,56=Korean,57=Japanese,58=Thai,59=Malaysian,60=Laotian,61=Khmer,62=Vietnamese,63=Sri Lankan,64=Uzbek,65=Hmong,66=Jewish,67=Aleut,68=Hebrew,70=Arab,71=Brazilian,72=Turkmen,73=Tajik,74=Kirghiz,75=Saudi,76=Iraqi,77=Libyan,78=Egyptian,79=Rwandan,7B=Djiboutian,7C=Manx,7E=Nepalese,7F=Samoan,7G=Mauritanian,7H=Inuit,7M=Trinidadian,7N=Southern African,80=Tongan,81=Senegalese,82=Malawian,83=South Sudanese,84=Moroccan,85=African American,86=Kenyan,87=Nigerian (Nigeria),88=Ghanaian,89=Zambian,8A=Congolese,8B=Central African (Central African Republic),8C=Togolese,8D=Bahraini,8E=Qatari,8F=Guyanese,8G=Tibetan,8H=Fijian,8I=Swazi,8J=Zulu,8K=Xhosa,8M=Afrikaner,8N=Liberian,8O=Comoran,8P=Beninese,8Q=Burkinabe (Burkina Faso),8R=Nigerian (Niger),8S=Akan,8T=Swahili,8U=Haitian,8V=Malian,8W=Jamaican,8X=Hausa,8Y=African Continental,91=Surinamese,92=Mozambican (Mozambique),93=Ivorian (Ivory Coast),94=Bhutanese,95=Ethiopian,96=Ugandan,97=Batswana (Botswana),98=Cameroonian,99=Zimbabwean,9A=Namibian,9B=Burundi,9C=Tanzanian,9D=Gambian,9E=Somali,9F=Macedonian,9G=Chadian,9H=Gabonese,9I=Angolan,9J=Chechen,9K=Igbo,9L=Yoruba,9M=Algerian,9N=Filipino,9O=Sotho (Lesotho),9P=Tunisian,9Q=Hawaiian,9R=Malagasy (Madagascar),9T=Sierra Leonean,9U=Kuwaiti,9V=Yemeni,9W=Guinean (Guinea-Bissau),9X=Papua New Guinean,9Y=Equatorial Guinean,9Z=Syrian,A1=African American (Arabic),A2=African American (Arabic),A3=African American (Arabic),A4=African American (Arabic),A5=African American (Arabic),blank=Null,D1=African American (Dutch),D2=African American (Dutch),D3=African American (Dutch),D4=African American (Dutch),D5=African American (Dutch),E1=African American (English),E2=African American (English),E3=African American (English),E4=African American (English),E5=African American (English),F1=African American (French),F2=African American (French),F3=African American (French),F4=African American (French),F5=African American (French),I1=African American (Irish),I2=African American (Irish),I3=African American (Irish),I4=African American (Irish),I5=African American (Irish),S1=African American (Scotch),S2=African American (Scotch),S3=African American (Scotch),S4=African American (Scotch),S5=African American (Scotch),U1=African American (Unknown),U2=African American (Unknown),U3=African American (Unknown),U4=African American (Unknown),U5=African American (Unknown),UC=Uncodable,W1=African American (Welsh),W2=African American (Welsh),W3=African American (Welsh),W4=African American (Welsh),W5=African American (Welsh),ZZ=Multi-Ethnic,"
New Mover Indicator (moved within last 6 months),New Mover: Indicator last 6 months,"N=no,Y=yes"
New Homeowner Indicator (owned a home within last 6 months) doesn't include any equity or refinance infomraiton. This is for mortgage data only.,New Homeowner Indicator 6M,"N=No,Y=yes"
"Assimilation coding can be identified on the following detail ethnicities: Hispanic, Chinese, Japanese, Khmer, Korean, Laotian, Thai, Vietnamese, Filipino, Indian and Pakistani. Please use the Detail Ethnicity select to target the appropriate ethnicity. If a Detail Ethnicity select is not chosen, the user will receive data on all ethnicities listed above.",Person 1: Ethnic - Assimilation,"0=Not Applicable or Unknown,1=Assimilated Speaks English Only,2=Bilingual English,3=Bilingual Native,4=Unassimilated Native Only,blank=Blank,"
"Estimated Current Monthly Mortgage Payment model is a subset of Experian's Equity model predicting monthly mortgage payments in ranges. Input variables such as sale date, mortgage amount and interest rate acquired from county court realty deed records. Values = A-N and U. See Field ID 10886 for further content.",Estimated Currently Monthly Mortgage,"A=1-199,B=200-299,C=300-399,D=400-499,E=500-599,F=600-699,G=700-799,H=800-899,I=900-999,J=1000-1199,K=1200-1399,L=1400-1699,M=1700-1999,N=2000+,U=Unknown"
Year the residence was built or by the application of a predictive model. Field should be used in conjunction with the Year Built Confidence field.,Property/Realty: Year Built,Text Year
Predicts the dollar estimate of annual household spend on dining out. Values represent an actual annual dollar amount. Values: 00010 - 99000.,DSE: Dine Out,$
Predicts the dollar estimate of annual household spend on alcohol and wine. Values represent an actual annual dollar amount. Values: 00010 - 99000.,DSE: Alcohol and Wine,$
Predicts the dollar estimate of annual household spend on apparel. Values represent an actual annual dollar amount. Values: 00010 - 99000.,DSE: Apparel,$
Predicts the dollar estimate of annual household spend on entertainment types of activities. Values represent an actual annual dollar amount. Valid Values: 00100 - 99000.,DSE: Entertainment,$
"DSE Category - Personal predicts the dollar estimate of annual household spend on personal types of items such as cosmetics, salons, aesthetics and spas. Values represent an actual annual dollar amount. Valid Values for DSE Subcategory Score: 5 Bytes: 00010 - 99000.",DSE: Personal,$
DSE Category - Reading predicts the dollar estimate of annual household spend on reading items such as books and magazines. Values represent an actual annual dollar amount. Valid Values for DSE Subcategory Score: 5 Bytes: 00010 - 99000.,DSE: Reading,$
"Predicts the dollar estimate of annual household spend on educational items such as schools, classes and seminars. Values represent an actual annual dollar amount. Valid Values: 00010 - 99000.",DSE: Education,$
"Predicts the dollar estimate of annual household spend on leisure travel items including domestic travel, international travel, and cruises.. Values represent an actual annual dollar amount. Valid Values for DSE Subcategory Score:5 Bytes: 00010 - 99000.",DSE: Travel,$
Predicts the dollar estimate of annual household spend on charitable giving. Values represent an actual annual dollar amount. Valid values: 00010 - 99000.,DSE: Donation,$
Predicts the dollar estimate of annual household spend on home furnishing items. Values represent an actual annual dollar amount. Valid Values: 00010 - 99000.,DSE: Furnishings,$
